category_a,category_b,co_purchase_orders,lift
Socks,Jeans,351,0.7096642483260935
Outerwear & Coats,Accessories,350,0.6043203878273395
Outerwear & Coats,Active,350,0.6498677665825415
Swim,Pants,350,0.6546714348158917
Underwear,Shorts,346,0.6352339570032811
Underwear,Active,345,0.7717657245494459
Pants,Outerwear & Coats,337,0.7823946399807068
Sweaters,Socks,334,0.7518894702687019
Intimates,Blazers & Jackets,333,1.2199082692918704
Socks,Sleep & Lounge,333,0.7353602476053507
Underwear,Suits & Sport Coats,332,1.2875467428713245
Tops & Tees,Socks,331,0.6936948040288602
Underwear,Outerwear & Coats,331,0.74260414858843
Leggings,Intimates,324,1.209893341151756
Socks,Shorts,323,0.7180680837684865
Pants,Active,319,0.7384543671496389
Socks,Fashion Hoodies & Sweatshirts,310,0.6527503890435448
Swim,Socks,303,0.6631883406364812
Suits & Sport Coats,Jeans,299,0.7163043816437646
Pants,Accessories,295,0.6350343912696946
Suits & Sport Coats,Pants,295,1.183895923495241
Suits & Sport Coats,Fashion Hoodies & Sweatshirts,294,0.7335224073621005
Tops & Tees,Suits & Sport Coats,290,0.7201435160257849
Socks,Accessories,281,0.7078161313860896
Suits & Sport Coats,Sleep & Lounge,274,0.7169470586482629
Suits & Sport Coats,Shorts,271,0.7138599242875526
Sweaters,Suits & Sport Coats,270,0.720197997234726
Socks,Outerwear & Coats,268,0.7280641822549588
Suits & Sport Coats,Accessories,260,0.7760113857524733
Suits & Sport Coats,Socks,257,1.2068784675174762
Maternity,Dresses,246,1.3840603881861688
Socks,Active,238,0.6446868972498789
Suits & Sport Coats,Outerwear & Coats,237,0.7628933463956538
Swim,Suits & Sport Coats,235,0.6094565168578815
Skirts,Intimates,231,1.3396350446468772
Suits & Sport Coats,Active,230,0.7382106930472961
Swim,Dresses,218,0.5509944059728485
Jeans,Dresses,218,0.508977689694722
Sleep & Lounge,Dresses,214,0.5457153010433549
Swim,Maternity,207,0.5569783097780111
Tops & Tees,Dresses,205,0.4961245876770274
Fashion Hoodies & Sweatshirts,Dresses,196,0.4765823550657714
Sleep & Lounge,Maternity,188,0.5103727146483343
Maternity,Jeans,187,0.4647946285302607
Maternity,Fashion Hoodies & Sweatshirts,185,0.4788845848853373
Sweaters,Dresses,184,0.47832359138376657
Shorts,Dresses,184,0.47236462561525466
Dresses,Accessories,183,0.5323063759178879
Swim,Plus,179,0.5674574273849018
Plus,Dresses,179,1.1865479123909097
Shorts,Maternity,176,0.4810048473068008
Maternity,Accessories,171,0.5295219046599922
Swim,Socks & Hosiery,171,0.6211518976437386
Socks & Hosiery,Maternity,170,1.3746111537244015
Tops & Tees,Maternity,170,0.4379888480004221
Plus,Maternity,166,1.1714333339974365
Plus,Fashion Hoodies & Sweatshirts,165,0.5032170989281599
Dresses,Active,162,0.5067378486172117
Plus,Accessories,160,0.5837408939409675
Pants & Capris,Dresses,159,1.3174659083111357
Shorts,Plus,158,0.5087520690770609
Socks & Hosiery,Fashion Hoodies & Sweatshirts,158,0.5521409835461755
Sweaters,Maternity,156,0.4317236279719825
Socks & Hosiery,Dresses,156,1.1848907225691347
Plus,Jeans,156,0.4568318853560233
Socks & Hosiery,Jeans,155,0.5200977327270432
Maternity,Active,153,0.5094915680646936
Tops & Tees,Socks & Hosiery,152,0.5286783035863919
Tops & Tees,Plus,150,0.4553210270122035
Outerwear & Coats,Dresses,149,0.46743107668202555
Sweaters,Plus,146,0.4760432283819735
Dresses,Blazers & Jackets,143,1.260709622971624
Outerwear & Coats,Maternity,142,0.4742386001542298
Jeans,Blazers & Jackets,141,0.5491584931386349
Leggings,Dresses,141,1.267118633919211
Plus,Active,141,0.5531934116569808
Shorts,Blazers & Jackets,139,0.5952654600053651
Swim,Blazers & Jackets,139,0.5860596695082684
Pants & Capris,Maternity,137,1.2084816773919338
Sweaters,Socks & Hosiery,136,0.5081055006131794
Fashion Hoodies & Sweatshirts,Blazers & Jackets,135,0.5475855708202633
Plus,Blazers & Jackets,135,1.49280250999001
Swim,Leggings,134,0.5759051584112156
Sleep & Lounge,Leggings,133,0.5767126434276907
Socks & Hosiery,Sleep & Lounge,133,0.48743308997398105
Socks & Hosiery,Shorts,132,0.4870174078981359
Sweaters,Pants & Capris,132,0.5379940594727782
Maternity,Blazers & Jackets,131,1.2294972661726133
Sleep & Lounge,Plus,130,0.4158007493421246
Swim,Pants & Capris,130,0.5151498991622713
Shorts,Leggings,129,0.5631248960907187
Pants & Capris,Fashion Hoodies & Sweatshirts,128,0.4879680959303369
Tops & Tees,Pants & Capris,126,0.47808707836281367
Leggings,Fashion Hoodies & Sweatshirts,124,0.5126949585843723
Maternity,Leggings,123,1.1767400039110316
Leggings,Active,120,0.638270906389016
Suits,Intimates,118,1.3041168592399557
Tops & Tees,Blazers & Jackets,118,0.47638188304835827
Sleep & Lounge,Blazers & Jackets,118,0.501961842118748
Socks & Hosiery,Active,118,0.5304706326320635
Leggings,Jeans,118,0.4684677878840525
Plus,Leggings,117,1.318783741855414
Socks & Hosiery,Accessories,116,0.484930586372835
Tops & Tees,Leggings,116,0.477364757684138
Socks & Hosiery,Pants & Capris,116,1.3813739465662542
Sleep & Lounge,Pants & Capris,116,0.46377775888160055
Plus,Pants & Capris,115,1.1951699349601448
Pants & Capris,Jeans,115,0.42095886871748944
Blazers & Jackets,Accessories,114,0.5531612754037419
Socks & Hosiery,Plus,112,1.0669922897615205
Pants & Capris,Active,112,0.5492700541274986
Socks & Hosiery,Blazers & Jackets,109,1.381072692498474
Plus,Outerwear & Coats,109,0.428891431576102
Sweaters,Blazers & Jackets,107,0.4640065331886375
Shorts,Pants & Capris,104,0.4185934745570756
Pants & Capris,Accessories,103,0.4697290005931224
Socks & Hosiery,Outerwear & Coats,100,0.45086064099169737
Outerwear & Coats,Leggings,99,0.5281070716325956
Leggings,Accessories,98,0.48472132677336455
Pants & Capris,Outerwear & Coats,97,0.47709253283121433
Jumpsuits & Rompers,Intimates,91,1.175976456515357
Socks & Hosiery,Leggings,91,1.1753049551257742
Blazers & Jackets,Active,91,0.4748386489132347
Sweaters,Leggings,89,0.3934136814625233
Swim,Skirts,88,0.5873558332026837
Outerwear & Coats,Blazers & Jackets,88,0.46052194044151945
Pants & Capris,Blazers & Jackets,86,1.18871310980686
Pants & Capris,Leggings,84,1.1835238708958844
Skirts,Maternity,84,1.2480360672351247
Leggings,Blazers & Jackets,82,1.229273039799917
Skirts,Dresses,81,1.1304611134051814
Sleep & Lounge,Skirts,79,0.5319947749975062
Socks & Hosiery,Skirts,75,1.5043291881851952
Skirts,Fashion Hoodies & Sweatshirts,75,0.48158291269626613
Skirts,Accessories,73,0.5607397666233951
Skirts,Plus,70,1.225344502376304
Skirts,Shorts,70,0.4745538507198882
Tops & Tees,Skirts,67,0.4281930467023872
Sweaters,Skirts,67,0.45994584393481525
Skirts,Jeans,67,0.413090277173377
Skirts,Active,65,0.5369200270397
Skirts,Pants & Capris,60,1.3128691096888976
Skirts,Outerwear & Coats,60,0.4970619080897865
Skirts,Leggings,59,1.4001613801599329
Skirts,Blazers & Jackets,55,1.2804706780385888
Suits,Maternity,51,1.444035959468058
Swim,Suits,51,0.6487072804265637
Suits,Dresses,47,1.2500530630920164
Swim,Jumpsuits & Rompers,45,0.6692892390690924
Tops & Tees,Suits,44,0.5358922375534576
Suits,Sleep & Lounge,43,0.5518343278305974
Shorts,Jumpsuits & Rompers,42,0.6344822350569844
Suits,Shorts,42,0.5426211707221348
Suits,Socks & Hosiery,40,1.5289792512014735
Suits,Leggings,40,1.8090311959607877
Suits,Accessories,39,0.5709039992825435
Suits,Pants & Capris,39,1.6262779308233857
Maternity,Jumpsuits & Rompers,38,1.2580971003980628
Suits,Plus,36,1.2009437027618843
Suits,Jeans,36,0.42299248644076226
Suits,Active,34,0.5352234654416984
Tops & Tees,Jumpsuits & Rompers,34,0.48420184456109655
Jumpsuits & Rompers,Jeans,34,0.46712359230958195
Jumpsuits & Rompers,Dresses,32,0.9951838089819504
Sleep & Lounge,Jumpsuits & Rompers,32,0.4801898417599339
Sweaters,Suits,32,0.4186410937910134
Suits,Fashion Hoodies & Sweatshirts,31,0.3793424819828815
Jumpsuits & Rompers,Accessories,30,0.5135023857871455
Sweaters,Jumpsuits & Rompers,28,0.4283242293265338
Plus,Jumpsuits & Rompers,28,1.0921968320393516
Socks & Hosiery,Jumpsuits & Rompers,27,1.2067799818291944
Intimates,Clothing Sets,26,1.497233182731332
Suits,Blazers & Jackets,25,1.109192537143926
Jumpsuits & Rompers,Fashion Hoodies & Sweatshirts,25,0.3577111923701924
Jumpsuits & Rompers,Active,24,0.44176387930389377
Skirts,Jumpsuits & Rompers,22,1.8067743740512998
Leggings,Jumpsuits & Rompers,22,1.1634064797645458
Jumpsuits & Rompers,Blazers & Jackets,21,1.089454150262467
Outerwear & Coats,Jumpsuits & Rompers,21,0.387669149577113
Suits,Skirts,17,1.1940085318569806
Pants & Capris,Jumpsuits & Rompers,15,0.7313818071692088
Suits,Outerwear & Coats,15,0.23681569021786122
Maternity,Clothing Sets,14,2.0654631989914636
Suits,Jumpsuits & Rompers,10,1.5650968713085949
Sleep & Lounge,Clothing Sets,10,0.66868541560868
Swim,Clothing Sets,10,0.6627659521385946
Dresses,Clothing Sets,9,1.2472533921780367
Jeans,Clothing Sets,9,0.5510033704952035
Outerwear & Coats,Clothing Sets,8,0.6580983391317408
Plus,Clothing Sets,8,1.3905663926716558
Sweaters,Clothing Sets,8,0.545335109017241
Fashion Hoodies & Sweatshirts,Clothing Sets,7,0.4463231579187383
Shorts,Clothing Sets,7,0.471223648258696
Pants & Capris,Clothing Sets,7,1.5209319919846236
Clothing Sets,Blazers & Jackets,6,1.387074456975773
Leggings,Clothing Sets,6,1.4139006978956683
Skirts,Clothing Sets,6,2.1957927799475128
Socks & Hosiery,Clothing Sets,6,1.1950179937022043
Clothing Sets,Accessories,3,0.2288238701577806
Clothing Sets,Active,3,0.2460702310157654
Tops & Tees,Clothing Sets,3,0.19038276860451786
Suits,Clothing Sets,1,0.697429132126988
